"columna","tipo"
"Curso","numeric"
"id_estudiante","numeric"
"Ingreso","numeric"
"Estatus","character"
"termino","numeric"
"promedio_final","character"
"ciclo_cal_materoa","numeric"
"promedio_materia","character"
"evaluacion_individual","numeric"
"evaluacion_grupo","character"
"Prom_tarea","numeric"
"Contero_tarea","numeric"
"Tarea_entregadas","numeric"
"Vista_feedback_tareas","numeric"
"Vista_formas_tareas","numeric"
"Vista_módulo_Tareas","numeric"
"No_foros","numeric"
"Palabras","numeric"
"Caracteres","numeric"
"Crea_discusion_foro","numeric"
"Crea_suscrip_discusion_foro","numeric"
"Crea_post_foro","numeric"
"Crea_suscripcion_foro","numeric"
